1982,MISSISSIPPI,MS,28,64,46,US SENATE,statewide,gen,False,JOHN C. STENNIS,DEMOCRAT,False,total,414099,645026,False,20210114,DEMOCRAT
1976,VIRGINIA,VA,51,54,40,US SENATE,statewide,gen,False,E. R. (BUD) ZUMWALT,DEMOCRAT,False,total,596009,1557500,False,20210114,DEMOCRAT
1980,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,False,FRED R. ESSER,LIBERTARIAN,False,total,12008,874238,False,20210114,LIBERTARIAN
2000,CALIFORNIA,CA,6,93,71,US SENATE,statewide,gen,False,MEDEA SUSAN BENJAMIN,GREEN,False,total,326828,10623608,False,20210114,OTHER
1986,MISSOURI,MO,29,43,34,US SENATE,statewide,gen,False,CHRISTOPHER (KIT) BOND,REPUBLICAN,False,total,777612,1477327,False,20210114,REPUBLICAN
2010,MARYLAND,MD,24,52,52,US SENATE,statewide,gen,False,RICHARD SHAWVER,CONSTITUTION,False,total,14746,1833858,False,20210114,OTHER
1998,VERMONT,VT,50,13,6,US SENATE,statewide,gen,False,BOB (DR. BOB) MELAMEDE,VERMONT GRASSROOTS,False,total,2459,214036,False,20210114,OTHER
2004,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,"TED ""BIG"" GIANOUTSOS",NONPARTISAN,False,total,732,308315,False,20210114,OTHER
2008,COLORADO,CO,8,84,62,US SENATE,statewide,gen,False,BOB SCHAFFER,REPUBLICAN,False,total,990755,2331621,False,20210114,REPUBLICAN
2004,VERMONT,VT,50,13,6,US SENATE,statewide,gen,False,KEITH STERN,INDEPENDENT,False,total,3300,307208,False,20210114,OTHER
2008,VIRGINIA,VA,51,54,40,US SENATE,statewide,gen,False,,,True,total,3178,3643294,False,20210114,OTHER
2010,OHIO,OH,39,31,24,US SENATE,statewide,gen,False,LEE FISHER,DEMOCRAT,False,total,1503297,3815098,False,20210114,DEMOCRAT
1982,WASHINGTON,WA,53,91,73,US SENATE,statewide,gen,False,JESSE CHIANG,INDEPENDENT,False,total,20251,1368476,False,20210114,OTHER
1992,HAWAII,HI,15,95,82,US SENATE,statewide,gen,False,LINDA B. MARTIN,GREEN,False,total,49921,363662,False,20210114,OTHER
2002,SOUTH CAROLINA,SC,45,57,48,US SENATE,statewide,gen,False,,,True,total,667,1102912,False,20210114,OTHER
1976,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,WILLIAM O. HART,DEMOCRATIC SOCIALIST,False,total,7354,1935183,False,20210114,OTHER
1978,OREGON,OR,41,92,72,US SENATE,statewide,gen,False,,,True,total,737,892518,False,20210114,OTHER
2014,SOUTH DAKOTA,SD,46,45,37,US SENATE,statewide,gen,False,LARRY PRESSLER,INDEPENDENT,False,total,47741,279412,False,20210114,OTHER
1984,COLORADO,CO,8,84,62,US SENATE,statewide,gen,False,DAVID MARTIN,SOCIALIST WORKERS,False,total,2208,1297809,False,20210114,OTHER
2014,MISSISSIPPI,MS,28,64,46,US SENATE,statewide,gen,False,SHAWN O'HARA,REFORM,False,total,13938,631858,False,20210114,OTHER
1990,MONTANA,MT,30,81,64,US SENATE,statewide,gen,False,MAX BAUCUS,DEMOCRAT,False,total,217563,319336,False,20210114,DEMOCRAT
2000,MISSOURI,MO,29,43,34,US SENATE,statewide,gen,False,,,True,total,13,2361586,False,20210114,OTHER
2000,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,False,,,True,total,42,2734048,False,20210114,OTHER
